source_block,dataset,model,feature_set,mean_full_pool_mape,n_feature_trials,best_acquisition,best_median_relative_improvement_pct,best_representative_trial,best_representative_relative_improvement_pct,worst_acquisition,worst_median_relative_improvement_pct,worst_representative_trial,worst_representative_relative_improvement_pct,random_acquisition,panel_a_labelled_n,panel_a_labelled_fraction,best_operational_labelled_n,worst_operational_labelled_n,embedding_reference_trial,panel_c_endpoint_labelled_fraction,index,source_index,cell_name,lifetime,split_assignment,embedding_x,embedding_y,best_selected,worst_selected,best_trial_pool,worst_trial_pool,selection_membership,role,acquisition,nominal_fraction,plot_fraction,mape_mean,mape_min,mape_max,mape_sd,n_trials,labelled_n,achieved_fraction,mape_sem,signed_error_grid,density_mean,density_sem,bandwidth,n_holdout_samples,trial,pool_n,fraction_distance,panel,panel_c_endpoint_fraction
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,27.0,27.0,cell30,441.0,pool,0.2701917237075212,0.47428414929601026,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,28.0,28.0,cell31,305.0,pool,0.30814360406395824,0.7994299026554235,True,True,True,True,overlap,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,29.0,29.0,cell32,378.0,pool,0.3130786419537353,0.7481101230971012,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,30.0,30.0,cell33,281.0,pool,0.3939664061626347,0.49315350978538275,True,True,True,True,overlap,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,31.0,31.0,cell34,435.0,pool,0.611849401972499,0.25262465148472135,False,True,True,True,worst_only,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,32.0,32.0,cell35,504.0,pool,0.8234407210040054,0.19282173470933103,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,33.0,33.0,cell36,295.0,pool,0.46267531960973374,0.5243637884256594,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,34.0,34.0,cell37,315.0,pool,0.5946409490993688,0.5402095434686767,False,False,False,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,35.0,35.0,cell38,557.0,pool,0.2859351690491247,0.4205567770082142,False,False,True,True,background,,,,,,,,,,,,,,,,,,,,,,
embedding,LSD_Second,GPR,set1_dQn_m,,,diversity_oneshot,,8.0,,diversity_iterative,,1.0,,,18.0,0.3103448275862069,,,,,36.0,36.0,cell39,297.0,holdout,0.7395333112096143,0.038016370953822855,False,False,False,False,background,,,,,,,,,,,,,,,,,,,,,,
