dataset,feature_set,model,acquisition,early_gain_pp,sd_trial_gain_pp,n_trials,n_checkpoint_values,max_checkpoint_values,attainable_gain_pp,attainable_gain_centered,intercept_at_mean_gain,slope_gain_per_pp,n_configurations,attainable_gain_mean_pp,interaction_partial_r2,moderation_fitted_pp
LSD_Second,set1_dQn_m,RF,exploitation,-1.7736708577796805,22.871951792267712,10,4,4,23.56955812239549,7.427069387949558,-3.323658715724115,-0.29751032225972596,120,16.142488734445934,0.3778961147089469,-5.533288522778337
LSD_Second,set1_dQn_m,RF,exploration,-10.437611966458341,33.98920080848855,10,4,4,23.56955812239549,7.427069387949558,3.1146568669506514,0.4917658276581851,120,16.142488734445934,0.3778961147089469,6.767035791590434
LSD_Second,set1_dQn_m,RF,hybrid,4.505185329231555,14.165626634043143,10,4,4,23.56955812239549,7.427069387949558,4.190351839609885,0.5589606246632357,120,16.142488734445934,0.3778961147089469,8.341791184115365
LSD_Second,set2_early_soh,AE_ENet,coverage,5.621467678194166,13.056923708996061,10,4,4,17.51792040190126,1.3754316674553273,4.019452353624456,0.5831813639572285,120,16.142488734445934,0.3778961147089469,4.821578469481018
LSD_Second,set2_early_soh,AE_ENet,diversity_iterative,7.4523352827217675,13.912609410069107,10,4,4,17.51792040190126,1.3754316674553273,3.0912719493565546,0.5116386206755128,120,16.142488734445934,0.3778961147089469,3.794995910526819
LSD_Second,set2_early_soh,AE_ENet,diversity_oneshot,4.205400088994096,9.055556015089167,10,4,4,17.51792040190126,1.3754316674553273,4.713809288918485,0.6352953387839664,120,16.142488734445934,0.3778961147089469,5.587614616068713
LSD_Second,set2_early_soh,AE_ENet,exploitation,0.4063647404008627,10.0979099686954,10,4,4,17.51792040190126,1.3754316674553273,-3.323658715724115,-0.29751032225972596,120,16.142488734445934,0.3778961147089469,-3.732863834354982
LSD_Second,set2_early_soh,AE_ENet,exploration,-0.9786612086587407,20.845270056985115,10,4,4,17.51792040190126,1.3754316674553273,3.1146568669506514,0.4917658276581851,120,16.142488734445934,0.3778961147089469,3.7910471592840977
LSD_Second,set2_early_soh,AE_ENet,hybrid,4.551456717701013,13.623440452067543,10,4,4,17.51792040190126,1.3754316674553273,4.190351839609885,0.5589606246632357,120,16.142488734445934,0.3778961147089469,4.959163983632312
LSD_Second,set2_early_soh,GPR,coverage,4.437664699318698,8.284673081847492,10,4,4,5.554133108545041,-10.588355625900892,4.019452353624456,0.5831813639572285,120,16.142488734445934,0.3778961147089469,-2.1554793223526167
LSD_Second,set2_early_soh,GPR,diversity_iterative,3.8575654821124914,12.3931447738857,10,4,4,5.554133108545041,-10.588355625900892,3.0912719493565546,0.5116386206755128,120,16.142488734445934,0.3778961147089469,-2.326139718301183
LSD_Second,set2_early_soh,GPR,diversity_oneshot,-0.6539491639672611,9.3721285679467,10,4,4,5.554133108545041,-10.588355625900892,4.713809288918485,0.6352953387839664,120,16.142488734445934,0.3778961147089469,-2.0129236856033415
LSD_Second,set2_early_soh,GPR,exploitation,6.890043397783873,8.045488221249672,10,4,4,5.554133108545041,-10.588355625900892,-3.323658715724115,-0.29751032225972596,120,16.142488734445934,0.3778961147089469,-0.17351362126175518
