dataset,feature_set,model,trial,acquisition,labelled_n,pool_n,holdout_mape,budget_total,labelled_fraction,b0_labelled_n,early_alc_eligible
Formation,set1_dQn_m,RF,1,diversity_iterative,72,146,11.006397106117632,72,0.4931506849315068,12,True
Formation,set1_dQn_m,RF,1,diversity_iterative,84,146,11.599441859561082,84,0.5753424657534246,12,True
Formation,set1_dQn_m,RF,1,diversity_iterative,96,146,11.118176445360978,96,0.6575342465753424,12,False
Formation,set1_dQn_m,RF,1,diversity_iterative,108,146,10.798350513127708,108,0.7397260273972602,12,False
Formation,set1_dQn_m,RF,1,diversity_iterative,120,146,11.10769631359562,120,0.821917808219178,12,False
Formation,set1_dQn_m,RF,1,diversity_iterative,132,146,10.47781241732559,132,0.9041095890410958,12,False
Formation,set1_dQn_m,RF,1,diversity_iterative,144,146,10.198936615984696,144,0.9863013698630136,12,False
Formation,set1_dQn_m,RF,1,diversity_iterative,146,146,10.124466910966762,146,1.0,12,False
Formation,set1_dQn_m,RF,1,coverage,12,146,13.494092097465838,12,0.0821917808219178,12,False
Formation,set1_dQn_m,RF,1,coverage,24,146,16.512050492314184,24,0.1643835616438356,12,True
Formation,set1_dQn_m,RF,1,coverage,36,146,14.217981759276409,36,0.2465753424657534,12,True
Formation,set1_dQn_m,RF,1,coverage,48,146,13.484172232038375,48,0.3287671232876712,12,True
Formation,set1_dQn_m,RF,1,coverage,60,146,11.156226516823155,60,0.410958904109589,12,True
Formation,set1_dQn_m,RF,1,coverage,72,146,11.300602801288838,72,0.4931506849315068,12,True
Formation,set1_dQn_m,RF,1,coverage,84,146,10.965025567671082,84,0.5753424657534246,12,True
Formation,set1_dQn_m,RF,1,coverage,96,146,10.789166356954803,96,0.6575342465753424,12,False
Formation,set1_dQn_m,RF,1,coverage,108,146,10.363968397347856,108,0.7397260273972602,12,False
Formation,set1_dQn_m,RF,1,coverage,120,146,9.8789438527386,120,0.821917808219178,12,False
Formation,set1_dQn_m,RF,1,coverage,132,146,9.935720899256188,132,0.9041095890410958,12,False
Formation,set1_dQn_m,RF,1,coverage,144,146,10.68070627582716,144,0.9863013698630136,12,False
Formation,set1_dQn_m,RF,1,coverage,146,146,10.124466910966762,146,1.0,12,False
Formation,set1_dQn_m,RF,1,exploration,12,146,13.494092097465838,12,0.0821917808219178,12,False
Formation,set1_dQn_m,RF,1,exploration,24,146,13.052843824242238,24,0.1643835616438356,12,True
