dataset,feature_set,model,acquisition,mean_relative_improvement_pct,median_relative_improvement_pct,q25_relative_improvement_pct,q75_relative_improvement_pct,mean_delta_alc_mape,median_delta_alc_mape,mean_absolute_alc_mape,mean_baseline_alc_mape,n_trials
Formation,set2_early_soh,AE_ENet,hybrid,2.716599384849702,4.615208563774879,-1.094589444496703,6.467807663310429,0.47826856972935783,0.8775494840690534,18.299315033841236,18.777583603570594,10
Formation,set2_early_soh,AE_ENet,random_selection,0.0,0.0,0.0,0.0,0.0,0.0,18.777583603570594,18.777583603570594,10
Formation,set2_early_soh,GPR,coverage,1.7657324199213176,2.338268411682805,-1.7811004281093856,6.490146168184512,0.32828541764235447,0.4286241997787883,19.48815071079192,19.816436128434276,10
Formation,set2_early_soh,GPR,diversity_iterative,-1.5412251293863666,-3.2860736922719096,-6.626754737415711,-1.2828801914249304,-0.3262602154233857,-0.6677773067776975,20.142696343857658,19.816436128434276,10
Formation,set2_early_soh,GPR,diversity_oneshot,1.6048135466698539,1.784465784025154,-0.9777359937783885,3.8637581130722,0.23079808810572794,0.3278318183426787,19.585638040328547,19.816436128434276,10
Formation,set2_early_soh,GPR,exploitation,-3.353531401413176,-2.6296916320818795,-9.338146668435364,3.0050280368607467,-0.5441608714067098,-0.4846164850394512,20.360596999840986,19.816436128434276,10
Formation,set2_early_soh,GPR,exploration,8.084344677711178,10.546016774750278,-0.3229373659876542,14.459917412356727,1.553228827823757,1.9370414940562188,18.263207300610517,19.816436128434276,10
Formation,set2_early_soh,GPR,hybrid,4.9583804779722325,5.862840315876857,2.3621745617568584,9.735018515336716,1.0041790233720307,1.1445753407328567,18.812257105062244,19.816436128434276,10
Formation,set2_early_soh,GPR,random_selection,0.0,0.0,0.0,0.0,0.0,0.0,19.816436128434276,19.816436128434276,10
Formation,set2_early_soh,RF,coverage,2.224517402081648,3.0581535151668877,-3.274025878680961,9.614786987022805,0.3984844607699497,0.5373383434503758,19.84859291244168,20.24707737321163,10
Formation,set2_early_soh,RF,diversity_iterative,-2.1645385578626986,-5.660133057671415,-6.224809366404686,-1.1615028693296592,-0.3474511165760806,-1.0511237377675773,20.594528489787713,20.24707737321163,10
Formation,set2_early_soh,RF,diversity_oneshot,1.4672595232869392,1.5925747614046837,-1.7991450131104494,5.069881374480051,0.3942640476908196,0.36575860359201684,19.852813325520813,20.24707737321163,10
Formation,set2_early_soh,RF,exploitation,4.622222848604891,5.37886755753258,0.23040848396801403,12.584119331118417,1.0577460274328958,1.025022135523459,19.189331345778736,20.24707737321163,10
Formation,set2_early_soh,RF,exploration,-0.8859173503177656,3.31112306419941,-7.0047148849865515,3.895087978684084,-0.04140505230401885,0.6720996050695458,20.288482425515653,20.24707737321163,10
Formation,set2_early_soh,RF,hybrid,1.4738054215869245,2.361024987512444,-2.5291070145074355,4.917836976343002,0.3210201829393,0.41854798606182797,19.926057190272335,20.24707737321163,10
Formation,set2_early_soh,RF,random_selection,0.0,0.0,0.0,0.0,0.0,0.0,20.24707737321163,20.24707737321163,10
Formation,set3_features,AE_ENet,coverage,-3.8072492599785503,-3.234144110310083,-6.676779606790859,0.8615605069520283,-0.3791196581465369,-0.3686715299205119,11.559057750427046,11.179938092280508,10
Formation,set3_features,AE_ENet,diversity_iterative,-2.867161675427039,2.157255870130926,-5.967252154101887,8.916565921856119,-0.22804185668295282,0.2679071211140327,11.407979948963462,11.179938092280508,10
Formation,set3_features,AE_ENet,diversity_oneshot,0.5420073526842707,3.039577544620303,-7.408711433279967,5.4929255864982025,0.15294836320193692,0.3480621120404672,11.02698972907857,11.179938092280508,10
Formation,set3_features,AE_ENet,exploitation,-0.8620612230953062,0.6598388584658696,-6.9592873912396325,7.281901795468161,-0.008249588724273949,0.10202511162462802,11.188187681004782,11.179938092280508,10
Formation,set3_features,AE_ENet,exploration,-3.9762374588476193,-1.4622607237579945,-9.918557301121695,-0.6322801410618525,-0.42256508616743405,-0.1579217811741227,11.602503178447943,11.179938092280508,10
Formation,set3_features,AE_ENet,hybrid,0.6217428984382263,-1.5807005512292154,-3.9620666272590443,8.208938035198038,0.09171959844687425,-0.19401258649286923,11.088218493833633,11.179938092280508,10
Formation,set3_features,AE_ENet,random_selection,0.0,0.0,0.0,0.0,0.0,0.0,11.179938092280508,11.179938092280508,10
Formation,set3_features,GPR,coverage,-3.719830460436346,-4.825021770977022,-8.52654880533753,3.3092306034163794,-0.39487603456471004,-0.5260003561904654,11.87831235414937,11.48343631958466,10
Formation,set3_features,GPR,diversity_iterative,-0.747088891353809,2.484708404007379,-1.2549531779943623,12.08145607251444,0.001549514260059759,0.2980270537613574,11.481886805324601,11.48343631958466,10
