dataset,feature_set,model,acquisition,mean_alc_mape,median_alc_mape,sd_trial_alc_mape,mean_alc_area_mape_fraction,n_trials,min_checkpoints,max_checkpoints
HUST,set5_features_metadata_corr95,GPR,diversity_oneshot,14.668182359772828,14.490571863214587,2.923588566846239,5.678006074750773,10,5,5
HUST,set5_features_metadata_corr95,GPR,exploitation,14.837667085880508,14.800213195547421,3.4501380809838937,5.7436130655021325,10,5,5
HUST,set5_features_metadata_corr95,GPR,exploration,14.731799095905519,14.954436517758273,2.80344994653107,5.702631908092459,10,5,5
HUST,set5_features_metadata_corr95,GPR,hybrid,14.50469152755791,14.073877175632768,2.9218275456939238,5.614719300990159,10,5,5
HUST,set5_features_metadata_corr95,GPR,random_selection,14.68550977734589,13.740738008947973,3.243088133038729,5.684713462198411,10,5,5
HUST,set5_features_metadata_corr95,RF,coverage,14.451422834225962,13.290583046991753,3.2598743804217314,5.5940991616358575,10,5,5
HUST,set5_features_metadata_corr95,RF,diversity_iterative,14.422495899831489,13.905812724985186,3.3169430449660977,5.582901638644447,10,5,5
HUST,set5_features_metadata_corr95,RF,diversity_oneshot,15.41603609757179,14.135287821684594,3.5190985459560062,5.96749784422134,10,5,5
HUST,set5_features_metadata_corr95,RF,exploitation,15.082772121319561,14.988504853186448,4.2130342987862734,5.8384924340591855,10,5,5
HUST,set5_features_metadata_corr95,RF,exploration,14.880442661424837,13.849445451014809,3.2587841270514066,5.760171352809616,10,5,5
HUST,set5_features_metadata_corr95,RF,hybrid,15.62634483254302,15.279933689002672,3.8175124327843837,6.048907677113427,10,5,5
HUST,set5_features_metadata_corr95,RF,random_selection,14.822865603950698,14.29976075849143,3.49198347468407,5.737883459593819,10,5,5
ISU_ILCC,set1_dQn_m,AE_ENet,coverage,22.911999048087846,23.16180546896655,4.122785603637536,9.497201677963872,10,6,6
ISU_ILCC,set1_dQn_m,AE_ENet,diversity_iterative,24.478656155966924,24.414144756675334,4.4281638397419965,10.146593225271264,10,6,6
ISU_ILCC,set1_dQn_m,AE_ENet,diversity_oneshot,23.1479989445959,22.046709683700534,4.577883832538651,9.595025469262549,10,6,6
ISU_ILCC,set1_dQn_m,AE_ENet,exploitation,23.593818230662457,22.15143086819524,4.205605631851598,9.779821028253867,10,6,6
ISU_ILCC,set1_dQn_m,AE_ENet,exploration,23.282333497813266,23.114750365723214,3.996307201933379,9.650708185622078,10,6,6
ISU_ILCC,set1_dQn_m,AE_ENet,hybrid,22.631761714889386,22.72892575589409,4.1455372189687045,9.381041125342747,10,6,6
ISU_ILCC,set1_dQn_m,AE_ENet,random_selection,23.913232744356463,22.542440022875677,4.972258508752145,9.912220826676252,10,6,6
ISU_ILCC,set1_dQn_m,GPR,coverage,22.69938090816985,22.43822019262543,3.3913835210948564,9.409069806495271,10,6,6
ISU_ILCC,set1_dQn_m,GPR,diversity_iterative,24.942539027090742,23.44394019459588,6.0006825050566155,10.338876280659374,10,6,6
ISU_ILCC,set1_dQn_m,GPR,diversity_oneshot,22.98779926419443,23.16777536120923,3.5604242260381875,9.5286214566609,10,6,6
ISU_ILCC,set1_dQn_m,GPR,exploitation,30.990871913356614,27.427989920461318,15.135498449757907,12.845957269785123,10,6,6
ISU_ILCC,set1_dQn_m,GPR,exploration,23.088248463302296,23.049465681759806,3.9451805783168847,9.570258430384369,10,6,6
ISU_ILCC,set1_dQn_m,GPR,hybrid,22.761442916915733,22.21321593536232,4.090437088413484,9.43479499146766,10,6,6
ISU_ILCC,set1_dQn_m,GPR,random_selection,23.70965781187278,23.481562655295882,2.9809408225461778,9.827837434973171,10,6,6
ISU_ILCC,set1_dQn_m,RF,coverage,29.239146137750527,27.185964297201245,6.802462956504976,12.119853321347366,10,6,6
