dataset,feature_set,model,acquisition,trial,alc_area_mape_fraction,alc_mape,start_fraction,end_fraction,fraction_span,n_checkpoints,early_max_fraction,excluded_initial_checkpoint,initial_mape,final_mape,baseline_alc_mape,baseline_acquisition,delta_alc_mape,relative_improvement_pct,relative_direction
Formation,set5_features_metadata_corr95,AE_ENet,hybrid,8,4.101401274718192,9.980076435147602,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,12.48302020867165,9.14893500868506,10.080208249887876,random_selection,0.10013181474027455,0.9933506556413488,improved
Formation,set5_features_metadata_corr95,AE_ENet,hybrid,9,4.031771366649754,9.810643658847736,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,15.22390788832905,7.807763152213468,9.095578559763116,random_selection,-0.7150650990846206,-7.86167800526637,worse_or_equal
Formation,set5_features_metadata_corr95,AE_ENet,hybrid,10,4.9854595332775355,12.13128486430867,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,14.176606237618788,11.920812057296509,10.799174319373938,random_selection,-1.3321105449347321,-12.335299954783569,worse_or_equal
Formation,set5_features_metadata_corr95,AE_ENet,random_selection,1,4.551840642532015,11.076145563494569,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,12.097453758997776,9.46598546753093,11.076145563494569,random_selection,0.0,0.0,worse_or_equal
Formation,set5_features_metadata_corr95,AE_ENet,random_selection,2,5.314580297506603,12.9321453905994,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,17.29236325805247,11.025717033991858,12.9321453905994,random_selection,0.0,0.0,worse_or_equal
Formation,set5_features_metadata_corr95,AE_ENet,random_selection,3,4.769711055760531,11.606296902350627,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,14.25036517679074,10.247756711988709,11.606296902350627,random_selection,0.0,0.0,worse_or_equal
Formation,set5_features_metadata_corr95,AE_ENet,random_selection,4,5.219891957668143,12.701737096992481,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,11.594598060086357,12.54557930799164,12.701737096992481,random_selection,0.0,0.0,worse_or_equal
Formation,set5_features_metadata_corr95,AE_ENet,random_selection,5,5.631180438430455,13.702539066847441,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,16.531900231745233,12.477291299666078,13.702539066847441,random_selection,0.0,0.0,worse_or_equal
Formation,set5_features_metadata_corr95,AE_ENet,random_selection,6,4.990436158442659,12.143394652210471,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,14.300231608940097,11.554588818796953,12.143394652210471,random_selection,0.0,0.0,worse_or_equal
Formation,set5_features_metadata_corr95,AE_ENet,random_selection,7,5.262214459047258,12.80472185034833,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,16.279203607392905,12.01129937028217,12.80472185034833,random_selection,0.0,0.0,worse_or_equal
Formation,set5_features_metadata_corr95,AE_ENet,random_selection,8,4.14255133557036,10.080208249887876,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,14.38830403576482,10.14549885807899,10.080208249887876,random_selection,0.0,0.0,worse_or_equal
Formation,set5_features_metadata_corr95,AE_ENet,random_selection,9,3.737908997162924,9.095578559763116,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,15.039133685870812,7.804716155785265,9.095578559763116,random_selection,0.0,0.0,worse_or_equal
Formation,set5_features_metadata_corr95,AE_ENet,random_selection,10,4.43801684357833,10.799174319373938,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,8.480343291911057,11.193770707960786,10.799174319373938,random_selection,0.0,0.0,worse_or_equal
Formation,set5_features_metadata_corr95,GPR,coverage,1,4.280220178263353,10.41520243377416,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,13.323150538643318,9.759206346808485,11.681377253918138,random_selection,1.266174820143977,10.839259726153266,improved
Formation,set5_features_metadata_corr95,GPR,coverage,2,6.06031596862709,14.746768856992587,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,17.750074221223265,14.274595781780713,14.542192699577829,random_selection,-0.204576157414758,-1.4067765545473552,worse_or_equal
Formation,set5_features_metadata_corr95,GPR,coverage,3,4.648687942898559,11.311807327719828,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,12.90395036064913,11.324676890182843,11.036358974440784,random_selection,-0.27544835327904416,-2.4958263311021125,worse_or_equal
Formation,set5_features_metadata_corr95,GPR,coverage,4,5.035441214915218,12.252906956293698,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,11.440817615960457,11.31937401116847,11.679697520575852,random_selection,-0.5732094357178461,-4.907742128664174,worse_or_equal
Formation,set5_features_metadata_corr95,GPR,coverage,5,5.881222997925039,14.310975961617595,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,15.04158868551908,13.52866475726622,13.635191934936412,random_selection,-0.6757840266811836,-4.956175387232165,worse_or_equal
Formation,set5_features_metadata_corr95,GPR,coverage,6,4.1605855518726935,10.124091509556887,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,10.09525877675314,9.732447682225535,9.4952160667527,random_selection,-0.628875442804187,-6.623076698656506,worse_or_equal
Formation,set5_features_metadata_corr95,GPR,coverage,7,6.129233924868758,14.914469217180645,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,20.73152274777948,13.052723264965255,13.00193949812814,random_selection,-1.9125297190525057,-14.709572516683748,worse_or_equal
Formation,set5_features_metadata_corr95,GPR,coverage,8,4.69967499399595,11.43587581872348,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,12.714355969645933,10.100361347213807,12.091840714053145,random_selection,0.6559648953296655,5.424855576928852,improved
Formation,set5_features_metadata_corr95,GPR,coverage,9,3.9100345533543535,9.51441741316226,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,10.9735611954667,7.085910479069089,9.603152782559812,random_selection,0.08873536939755233,0.9240233015838687,improved
Formation,set5_features_metadata_corr95,GPR,coverage,10,5.560556956729212,13.530688594707751,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,11.436548971338018,13.101822943072904,11.046673226049469,random_selection,-2.484015368658282,-22.486547015807943,worse_or_equal
Formation,set5_features_metadata_corr95,GPR,diversity_iterative,1,4.641916341233785,11.295329763668878,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,13.27046509680731,10.55884842500056,11.681377253918138,random_selection,0.38604749024925944,3.3048114264075528,improved
Formation,set5_features_metadata_corr95,GPR,diversity_iterative,2,5.812012949990151,14.142564844976034,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,14.72297858146386,12.330498244631272,14.542192699577829,random_selection,0.3996278546017944,2.7480577575718406,improved
Formation,set5_features_metadata_corr95,GPR,diversity_iterative,3,4.299883780574108,10.46305053273033,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,11.144360607779982,10.133491383081376,11.036358974440784,random_selection,0.5733084417104539,5.194724483302734,improved
Formation,set5_features_metadata_corr95,GPR,diversity_iterative,4,4.474356231693438,10.887600163787367,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,10.722888818779836,10.73376626119584,11.679697520575852,random_selection,0.792097356788485,6.781831082466523,improved
Formation,set5_features_metadata_corr95,GPR,diversity_iterative,5,5.112697421763633,12.44089705962484,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,12.191939648956549,11.976227081390483,13.635191934936412,random_selection,1.1942948753115719,8.758915026722295,improved
Formation,set5_features_metadata_corr95,GPR,diversity_iterative,6,4.0968681044250586,9.969045720767642,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,10.50446986383106,9.230889750559609,9.4952160667527,random_selection,-0.47382965401494204,-4.990193489899052,worse_or_equal
Formation,set5_features_metadata_corr95,GPR,diversity_iterative,7,5.479871382573817,13.33435369759629,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,14.83648689203836,12.269552631769177,13.00193949812814,random_selection,-0.33241419946815043,-2.556650871325831,worse_or_equal
Formation,set5_features_metadata_corr95,GPR,diversity_iterative,8,6.4195361706950615,15.620871348691317,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,18.87639767387006,13.7449637105142,12.091840714053145,random_selection,-3.529030634638172,-29.185222648002057,worse_or_equal
Formation,set5_features_metadata_corr95,GPR,diversity_iterative,9,4.354596437962367,10.596184665708426,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,13.34744834748268,8.598854214670908,9.603152782559812,random_selection,-0.993031883148614,-10.340686081263323,worse_or_equal
Formation,set5_features_metadata_corr95,GPR,diversity_iterative,10,5.585052064540859,13.590293357049424,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,13.288207615621896,12.69651295350518,11.046673226049469,random_selection,-2.5436201309999547,-23.026119076300482,worse_or_equal
Formation,set5_features_metadata_corr95,GPR,diversity_oneshot,1,4.29801527061259,10.458503825157301,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,10.957500045088969,10.10487594253372,11.681377253918138,random_selection,1.2228734287608365,10.468572345359906,improved
Formation,set5_features_metadata_corr95,GPR,diversity_oneshot,2,4.9151848648857275,11.960283171221938,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,11.691096721724692,12.369758923438052,14.542192699577829,random_selection,2.58190952835589,17.754609512435117,improved
Formation,set5_features_metadata_corr95,GPR,diversity_oneshot,3,4.600450122952717,11.194428632518278,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,10.377836038157538,10.851154189371265,11.036358974440784,random_selection,-0.15806965807749407,-1.4322627457440376,worse_or_equal
Formation,set5_features_metadata_corr95,GPR,diversity_oneshot,4,4.783700834253189,11.64033869668276,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,12.536777206726583,11.087680396320094,11.679697520575852,random_selection,0.03935882389309242,0.33698495893198344,improved
Formation,set5_features_metadata_corr95,GPR,diversity_oneshot,5,5.276988847978427,12.840672863414174,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,12.528168590274657,15.45229947885396,13.635191934936412,random_selection,0.7945190715222381,5.826973872560624,improved
Formation,set5_features_metadata_corr95,GPR,diversity_oneshot,6,3.9123287026698965,9.519999843163415,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,10.747192026640736,9.867245084996611,9.4952160667527,random_selection,-0.02478377641071461,-0.261013295921664,worse_or_equal
Formation,set5_features_metadata_corr95,GPR,diversity_oneshot,7,5.365337274888683,13.055654035562462,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,18.324461424146108,11.67086082594884,13.00193949812814,random_selection,-0.053714537434322196,-0.4131271141667392,worse_or_equal
Formation,set5_features_metadata_corr95,GPR,diversity_oneshot,8,4.424514452787236,10.766318501782276,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,13.173501052761155,11.000797241061116,12.091840714053145,random_selection,1.3255222122708687,10.96212101711153,improved
Formation,set5_features_metadata_corr95,GPR,diversity_oneshot,9,3.631938045453668,8.837715910603926,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,9.550164434378878,8.880603294202198,9.603152782559812,random_selection,0.7654368719558864,7.970683058859467,improved
Formation,set5_features_metadata_corr95,GPR,diversity_oneshot,10,5.117800522195558,12.453314604009192,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,10.905930574538344,11.69720893528306,11.046673226049469,random_selection,-1.4066413779597227,-12.733619879718017,worse_or_equal
Formation,set5_features_metadata_corr95,GPR,exploitation,1,4.554236626423052,11.08197579096276,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,13.111812739301278,10.219330678182612,11.681377253918138,random_selection,0.5994014629553774,5.131256785276134,improved
Formation,set5_features_metadata_corr95,GPR,exploitation,2,5.9152695521101455,14.393822576801355,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,14.7062686938527,13.779601456924958,14.542192699577829,random_selection,0.14837012277647332,1.0202733923391114,improved
Formation,set5_features_metadata_corr95,GPR,exploitation,3,4.2280651073282804,10.288291761165484,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,11.69120828937577,9.346909075395889,11.036358974440784,random_selection,0.7480672132753003,6.778206607883604,improved
Formation,set5_features_metadata_corr95,GPR,exploitation,4,4.586622599835758,11.160781659600346,0.1643835616438356,0.5753424657534246,0.410958904109589,6,0.6,True,13.953329515060686,10.6836732472936,11.679697520575852,random_selection,0.5189158609755058,4.442887840728271,improved
