dataset,feature_set,model,trial,acquisition,alpha,cold_mape,full_pool_mape,attainable_gain_pp,positive_attainable_gain,pool_n,target_mape,status,continuous_labelled_n,continuous_pool_fraction,operational_labelled_n,operational_pool_fraction,operational_duration,duration_unit,nfp_percent,feature_model_label,acquisition_label,reached,required_pool_fraction_pct,required_full_life_tests,required_duration
LSD_Primary,set3_features,RF,2,random_selection,0.95,35.37949004444128,22.68283258620034,12.696657458240942,True,58,23.31766545911239,crossed,15.370447084301198,0.26500770835002063,18.0,0.3103448275862069,3676.0,cycles,95,FS 3+RF,Random,True,31.03448275862069,18.0,3676.0
LSD_Primary,set3_features,RF,4,coverage,0.95,69.7138583837006,26.13414324190621,43.57971514179439,True,58,28.31312899899593,crossed,26.475872884105364,0.45648056696733386,30.0,0.5172413793103449,4995.0,cycles,95,FS 3+RF,Coverage,True,51.724137931034484,30.0,4995.0
LSD_Primary,set3_features,RF,4,diversity_iterative,0.95,69.7138583837006,26.13414324190621,43.57971514179439,True,58,28.31312899899593,crossed,29.357979311733587,0.5061720570988549,30.0,0.5172413793103449,5747.0,cycles,95,FS 3+RF,Diversity IT,True,51.724137931034484,30.0,5747.0
LSD_Primary,set3_features,RF,4,diversity_oneshot,0.95,69.7138583837006,26.13414324190621,43.57971514179439,True,58,28.31312899899593,crossed,28.784650313997915,0.4962870743792744,30.0,0.5172413793103449,6264.0,cycles,95,FS 3+RF,Diversity OS,True,51.724137931034484,30.0,6264.0
LSD_Primary,set3_features,RF,4,exploitation,0.95,69.7138583837006,26.13414324190621,43.57971514179439,True,58,28.31312899899593,crossed,52.249498524002156,0.9008534228276234,54.0,0.9310344827586207,8799.0,cycles,95,FS 3+RF,Exploitation,True,93.10344827586206,54.0,8799.0
LSD_Primary,set3_features,RF,4,exploration,0.95,69.7138583837006,26.13414324190621,43.57971514179439,True,58,28.31312899899593,crossed,29.537134064653873,0.5092609321492048,30.0,0.5172413793103449,6234.0,cycles,95,FS 3+RF,Exploration,True,51.724137931034484,30.0,6234.0
LSD_Primary,set3_features,RF,4,hybrid,0.95,69.7138583837006,26.13414324190621,43.57971514179439,True,58,28.31312899899593,crossed,23.44744880400437,0.40426635868973054,24.0,0.41379310344827586,5176.0,cycles,95,FS 3+RF,Hybrid,True,41.37931034482759,24.0,5176.0
LSD_Primary,set3_features,RF,4,random_selection,0.95,69.7138583837006,26.13414324190621,43.57971514179439,True,58,28.31312899899593,crossed,34.86802440718137,0.6011728346065754,36.0,0.6206896551724138,6844.0,cycles,95,FS 3+RF,Random,True,62.06896551724138,36.0,6844.0
LSD_Primary,set3_features,RF,5,coverage,0.95,70.87879134101819,28.226493379655945,42.65229796136224,True,58,30.35910827772406,crossed,24.368296010406006,0.4201430346621725,30.0,0.5172413793103449,5635.0,cycles,95,FS 3+RF,Coverage,True,51.724137931034484,30.0,5635.0
LSD_Primary,set3_features,RF,5,diversity_iterative,0.95,70.87879134101819,28.226493379655945,42.65229796136224,True,58,30.35910827772406,crossed,29.498215578371205,0.5085899237650208,30.0,0.5172413793103449,6130.0,cycles,95,FS 3+RF,Diversity IT,True,51.724137931034484,30.0,6130.0
LSD_Primary,set3_features,RF,5,diversity_oneshot,0.95,70.87879134101819,28.226493379655945,42.65229796136224,True,58,30.35910827772406,crossed,20.79665298594108,0.35856298251622554,24.0,0.41379310344827586,5090.0,cycles,95,FS 3+RF,Diversity OS,True,41.37931034482759,24.0,5090.0
LSD_Primary,set3_features,RF,5,exploitation,0.95,70.87879134101819,28.226493379655945,42.65229796136224,True,58,30.35910827772406,crossed,53.784070959256226,0.9273115682630384,54.0,0.9310344827586207,8990.0,cycles,95,FS 3+RF,Exploitation,True,93.10344827586206,54.0,8990.0
LSD_Primary,set3_features,RF,5,exploration,0.95,70.87879134101819,28.226493379655945,42.65229796136224,True,58,30.35910827772406,crossed,17.887355621403614,0.3084026831276485,18.0,0.3103448275862069,3251.0,cycles,95,FS 3+RF,Exploration,True,31.03448275862069,18.0,3251.0
LSD_Primary,set3_features,RF,5,hybrid,0.95,70.87879134101819,28.226493379655945,42.65229796136224,True,58,30.35910827772406,crossed,16.656176294579932,0.2871754533548264,18.0,0.3103448275862069,2680.0,cycles,95,FS 3+RF,Hybrid,True,31.03448275862069,18.0,2680.0
LSD_Primary,set3_features,RF,5,random_selection,0.95,70.87879134101819,28.226493379655945,42.65229796136224,True,58,30.35910827772406,crossed,33.650356296630925,0.5801785568384642,36.0,0.6206896551724138,6822.0,cycles,95,FS 3+RF,Random,True,62.06896551724138,36.0,6822.0
LSD_Primary,set3_features,RF,6,coverage,0.95,77.49635673582861,27.981452224784068,49.51490451104455,True,58,30.457197450336295,crossed,10.71169674447155,0.18468442662881981,12.0,0.20689655172413793,1477.0,cycles,95,FS 3+RF,Coverage,True,20.689655172413794,12.0,1477.0
LSD_Primary,set3_features,RF,6,diversity_iterative,0.95,77.49635673582861,27.981452224784068,49.51490451104455,True,58,30.457197450336295,crossed,54.50307978019116,0.9397082720722614,58.0,1.0,11663.0,cycles,95,FS 3+RF,Diversity IT,True,100.0,58.0,11663.0
LSD_Primary,set3_features,RF,6,diversity_oneshot,0.95,77.49635673582861,27.981452224784068,49.51490451104455,True,58,30.457197450336295,crossed,28.453750157974298,0.49058189927541895,30.0,0.5172413793103449,5823.0,cycles,95,FS 3+RF,Diversity OS,True,51.724137931034484,30.0,5823.0
LSD_Primary,set3_features,RF,6,exploitation,0.95,77.49635673582861,27.981452224784068,49.51490451104455,True,58,30.457197450336295,crossed,38.929861490185004,0.6712045084514656,42.0,0.7241379310344828,7491.0,cycles,95,FS 3+RF,Exploitation,True,72.41379310344827,42.0,7491.0
LSD_Primary,set3_features,RF,6,exploration,0.95,77.49635673582861,27.981452224784068,49.51490451104455,True,58,30.457197450336295,crossed,32.066100485632724,0.5528638014764262,36.0,0.6206896551724138,6336.0,cycles,95,FS 3+RF,Exploration,True,62.06896551724138,36.0,6336.0
LSD_Primary,set3_features,RF,6,hybrid,0.95,77.49635673582861,27.981452224784068,49.51490451104455,True,58,30.457197450336295,crossed,29.763632110193427,0.5131660708654039,30.0,0.5172413793103449,5427.0,cycles,95,FS 3+RF,Hybrid,True,51.724137931034484,30.0,5427.0
LSD_Primary,set3_features,RF,6,random_selection,0.95,77.49635673582861,27.981452224784068,49.51490451104455,True,58,30.457197450336295,crossed,16.727359873209732,0.2884027564346506,18.0,0.3103448275862069,3548.0,cycles,95,FS 3+RF,Random,True,31.03448275862069,18.0,3548.0
LSD_Primary,set3_features,RF,7,coverage,0.95,105.2220408585604,17.351790890681276,87.87024996787913,True,58,21.745303389075232,crossed,27.168905183299756,0.46842939971206476,30.0,0.5172413793103449,5671.0,cycles,95,FS 3+RF,Coverage,True,51.724137931034484,30.0,5671.0
LSD_Primary,set3_features,RF,7,diversity_iterative,0.95,105.2220408585604,17.351790890681276,87.87024996787913,True,58,21.745303389075232,crossed,44.04769583228092,0.7594430315910504,48.0,0.8275862068965517,10200.0,cycles,95,FS 3+RF,Diversity IT,True,82.75862068965517,48.0,10200.0
LSD_Primary,set3_features,RF,7,diversity_oneshot,0.95,105.2220408585604,17.351790890681276,87.87024996787913,True,58,21.745303389075232,crossed,27.516878978834868,0.474428947910946,30.0,0.5172413793103449,6047.0,cycles,95,FS 3+RF,Diversity OS,True,51.724137931034484,30.0,6047.0
LSD_Primary,set3_features,RF,7,exploitation,0.95,105.2220408585604,17.351790890681276,87.87024996787913,True,58,21.745303389075232,crossed,32.395411188835844,0.5585415722213076,36.0,0.6206896551724138,6499.0,cycles,95,FS 3+RF,Exploitation,True,62.06896551724138,36.0,6499.0
LSD_Primary,set3_features,RF,7,exploration,0.95,105.2220408585604,17.351790890681276,87.87024996787913,True,58,21.745303389075232,crossed,36.815019614210506,0.6347417174863881,42.0,0.7241379310344828,7615.0,cycles,95,FS 3+RF,Exploration,True,72.41379310344827,42.0,7615.0
LSD_Primary,set3_features,RF,7,hybrid,0.95,105.2220408585604,17.351790890681276,87.87024996787913,True,58,21.745303389075232,crossed,33.82287785069582,0.5831530663913072,36.0,0.6206896551724138,7233.0,cycles,95,FS 3+RF,Hybrid,True,62.06896551724138,36.0,7233.0
LSD_Primary,set3_features,RF,7,random_selection,0.95,105.2220408585604,17.351790890681276,87.87024996787913,True,58,21.745303389075232,crossed,51.22653175607106,0.8832160647598459,54.0,0.9310344827586207,9123.0,cycles,95,FS 3+RF,Random,True,93.10344827586206,54.0,9123.0
LSD_Primary,set3_features,RF,8,coverage,0.95,212.13625465219144,29.5617266601694,182.57452799202204,True,58,38.690453059770505,crossed,26.0275746101304,0.44875128638155865,30.0,0.5172413793103449,5323.0,cycles,95,FS 3+RF,Coverage,True,51.724137931034484,30.0,5323.0
LSD_Primary,set3_features,RF,8,diversity_iterative,0.95,212.13625465219144,29.5617266601694,182.57452799202204,True,58,38.690453059770505,crossed,44.12625769282772,0.7607975464280642,48.0,0.8275862068965517,9922.0,cycles,95,FS 3+RF,Diversity IT,True,82.75862068965517,48.0,9922.0
LSD_Primary,set3_features,RF,8,diversity_oneshot,0.95,212.13625465219144,29.5617266601694,182.57452799202204,True,58,38.690453059770505,crossed,29.023087808820968,0.500398065669327,30.0,0.5172413793103449,6333.0,cycles,95,FS 3+RF,Diversity OS,True,51.724137931034484,30.0,6333.0
LSD_Primary,set3_features,RF,8,exploitation,0.95,212.13625465219144,29.5617266601694,182.57452799202204,True,58,38.690453059770505,crossed,34.32435844485822,0.5917992835320383,36.0,0.6206896551724138,6976.0,cycles,95,FS 3+RF,Exploitation,True,62.06896551724138,36.0,6976.0
LSD_Primary,set3_features,RF,8,exploration,0.95,212.13625465219144,29.5617266601694,182.57452799202204,True,58,38.690453059770505,crossed,31.25366745825299,0.5388563354871205,36.0,0.6206896551724138,6393.0,cycles,95,FS 3+RF,Exploration,True,62.06896551724138,36.0,6393.0
LSD_Primary,set3_features,RF,8,hybrid,0.95,212.13625465219144,29.5617266601694,182.57452799202204,True,58,38.690453059770505,crossed,23.284725244298613,0.401460780074114,24.0,0.41379310344827586,4955.0,cycles,95,FS 3+RF,Hybrid,True,41.37931034482759,24.0,4955.0
LSD_Primary,set3_features,RF,8,random_selection,0.95,212.13625465219144,29.5617266601694,182.57452799202204,True,58,38.690453059770505,crossed,41.867576981677026,0.7218547755461556,42.0,0.7241379310344828,8556.0,cycles,95,FS 3+RF,Random,True,72.41379310344827,42.0,8556.0
LSD_Primary,set3_features,RF,10,coverage,0.95,113.51162649564594,17.29424654116943,96.21737995447651,True,58,22.10511553889326,crossed,28.33707196522807,0.4885702062970357,30.0,0.5172413793103449,5003.0,cycles,95,FS 3+RF,Coverage,True,51.724137931034484,30.0,5003.0
