dataset,acquisition,nfp_percent,pool_n,duration_unit,n_observations,n_trials,n_feature_model_combinations,required_full_life_tests_median,required_full_life_tests_q25,required_full_life_tests_q75,required_pool_fraction_pct_median,required_pool_fraction_pct_q25,required_pool_fraction_pct_q75,required_duration_median,required_duration_q25,required_duration_q75
LSD_Primary,coverage,95,58,cycles,121,10,15,18.0,12.0,30.0,31.03448275862069,20.6896551724138,51.72413793103448,3315.0,1996.0,5671.0
LSD_Primary,coverage,98,58,cycles,121,10,15,24.0,12.0,36.0,41.37931034482759,20.6896551724138,62.06896551724138,4041.0,2081.0,7057.0
LSD_Primary,exploration,92,58,cycles,121,10,15,24.0,12.0,30.0,41.37931034482759,20.6896551724138,51.72413793103448,3665.0,2123.0,5615.0
LSD_Primary,exploration,95,58,cycles,121,10,15,24.0,12.0,36.0,41.37931034482759,20.6896551724138,62.06896551724138,4190.0,2298.0,6517.0
LSD_Primary,exploration,98,58,cycles,121,10,15,24.0,12.0,36.0,41.37931034482759,20.6896551724138,62.06896551724138,4328.0,2370.0,6870.0
LSD_Primary,exploitation,92,58,cycles,121,10,15,36.0,24.0,48.0,62.06896551724138,41.37931034482759,82.75862068965517,6903.0,4387.0,8682.0
LSD_Primary,exploitation,95,58,cycles,121,10,15,42.0,30.0,48.0,72.41379310344827,51.72413793103448,82.75862068965517,7491.0,4666.0,8799.0
LSD_Primary,exploitation,98,58,cycles,121,10,15,42.0,30.0,54.0,72.41379310344827,51.72413793103448,93.10344827586206,7724.0,4694.0,9274.0
LSD_Primary,hybrid,92,58,cycles,121,10,15,18.0,12.0,24.0,31.03448275862069,20.6896551724138,41.37931034482759,3126.0,2141.0,4984.0
LSD_Primary,hybrid,95,58,cycles,121,10,15,18.0,12.0,30.0,31.03448275862069,20.6896551724138,51.72413793103448,3336.0,2232.0,5277.0
LSD_Primary,hybrid,98,58,cycles,121,10,15,24.0,12.0,36.0,41.37931034482759,20.6896551724138,62.06896551724138,3990.0,2232.0,6572.0
LSD_Second,random_selection,92,58,cycles,123,10,15,36.0,18.0,48.0,62.06896551724138,31.03448275862069,82.75862068965517,5341.0,3031.0,6730.0
LSD_Second,random_selection,95,58,cycles,123,10,15,36.0,18.0,54.0,62.06896551724138,31.03448275862069,93.10344827586206,5848.0,3069.0,6802.5
LSD_Second,random_selection,98,58,cycles,123,10,15,42.0,21.0,54.0,72.41379310344827,36.20689655172414,93.10344827586206,5848.0,3351.0,7230.0
LSD_Second,diversity_oneshot,92,58,cycles,123,10,15,24.0,12.0,42.0,41.37931034482759,20.6896551724138,72.41379310344827,3244.0,2019.0,6173.5
LSD_Second,diversity_oneshot,95,58,cycles,123,10,15,24.0,12.0,42.0,41.37931034482759,20.6896551724138,72.41379310344827,3560.0,2168.0,6366.0
LSD_Second,diversity_oneshot,98,58,cycles,123,10,15,30.0,12.0,48.0,51.72413793103448,20.6896551724138,82.75862068965517,3789.0,2251.5,6422.0
LSD_Second,diversity_iterative,92,58,cycles,123,10,15,30.0,12.0,48.0,51.72413793103448,20.6896551724138,82.75862068965517,3921.0,2052.0,6654.5
LSD_Second,diversity_iterative,95,58,cycles,123,10,15,36.0,12.0,51.0,62.06896551724138,20.6896551724138,87.93103448275862,3987.0,2052.0,6895.0
LSD_Second,diversity_iterative,98,58,cycles,123,10,15,36.0,12.0,54.0,62.06896551724138,20.6896551724138,93.10344827586206,4686.0,2052.0,7274.0
LSD_Second,coverage,92,58,cycles,123,10,15,30.0,18.0,45.0,51.72413793103448,31.03448275862069,77.58620689655172,4189.0,2897.0,5800.0
LSD_Second,coverage,95,58,cycles,123,10,15,30.0,24.0,48.0,51.72413793103448,41.37931034482759,82.75862068965517,4501.0,3026.0,6195.0
LSD_Second,coverage,98,58,cycles,123,10,15,36.0,24.0,54.0,62.06896551724138,41.37931034482759,93.10344827586206,4680.0,3247.0,6880.5
LSD_Second,exploration,92,58,cycles,123,10,15,36.0,24.0,48.0,62.06896551724138,41.37931034482759,82.75862068965517,4651.0,3214.0,6284.0
LSD_Second,exploration,95,58,cycles,123,10,15,36.0,24.0,51.0,62.06896551724138,41.37931034482759,87.93103448275862,4833.0,3445.5,6509.0
LSD_Second,exploration,98,58,cycles,123,10,15,42.0,30.0,54.0,72.41379310344827,51.72413793103448,93.10344827586206,5780.0,3671.0,6851.0
LSD_Second,exploitation,92,58,cycles,123,10,15,30.0,18.0,48.0,51.72413793103448,31.03448275862069,82.75862068965517,4826.0,3356.0,6271.5
LSD_Second,exploitation,95,58,cycles,123,10,15,36.0,18.0,54.0,62.06896551724138,31.03448275862069,93.10344827586206,5013.0,3356.0,6578.5
LSD_Second,exploitation,98,58,cycles,123,10,15,36.0,18.0,54.0,62.06896551724138,31.03448275862069,93.10344827586206,5598.0,3471.0,6868.0
LSD_Second,hybrid,92,58,cycles,123,10,15,30.0,18.0,42.0,51.72413793103448,31.03448275862069,72.41379310344827,4477.0,3005.0,6171.0
LSD_Second,hybrid,95,58,cycles,123,10,15,36.0,24.0,48.0,62.06896551724138,41.37931034482759,82.75862068965517,4855.0,3078.5,6871.5
LSD_Second,hybrid,98,58,cycles,123,10,15,36.0,24.0,54.0,62.06896551724138,41.37931034482759,93.10344827586206,5413.0,3424.5,7512.5
HUST,random_selection,92,62,cycles,146,10,15,30.0,18.0,48.0,48.38709677419355,29.03225806451613,77.41935483870968,12379.0,7196.0,18158.0
HUST,random_selection,95,62,cycles,146,10,15,36.0,18.0,48.0,58.06451612903226,29.03225806451613,77.41935483870968,13292.0,7255.25,19373.25
HUST,random_selection,98,62,cycles,146,10,15,42.0,24.0,54.0,67.74193548387096,38.70967741935484,87.09677419354838,15721.0,9321.25,22019.0
HUST,diversity_oneshot,92,62,cycles,146,10,15,24.0,12.0,48.0,38.70967741935484,19.35483870967742,77.41935483870968,9898.0,5158.0,18980.5
HUST,diversity_oneshot,95,62,cycles,146,10,15,24.0,12.0,48.0,38.70967741935484,19.35483870967742,77.41935483870968,10271.0,5221.0,19419.5
HUST,diversity_oneshot,98,62,cycles,146,10,15,30.0,18.0,54.0,48.38709677419355,29.03225806451613,87.09677419354838,12365.0,6914.25,21723.5
HUST,diversity_iterative,92,62,cycles,146,10,15,36.0,18.0,60.0,58.06451612903226,29.03225806451613,96.7741935483871,14410.5,7434.0,23550.75
HUST,diversity_iterative,95,62,cycles,146,10,15,42.0,18.0,60.0,67.74193548387096,29.03225806451613,96.7741935483871,17484.0,7830.5,24001.75
HUST,diversity_iterative,98,62,cycles,146,10,15,48.0,24.0,60.0,77.41935483870968,38.70967741935484,96.7741935483871,19393.5,9768.25,24219.5
HUST,coverage,92,62,cycles,146,10,15,30.0,18.0,54.0,48.38709677419355,29.03225806451613,87.09677419354838,12822.0,7453.5,21142.25
HUST,coverage,95,62,cycles,146,10,15,36.0,18.0,54.0,58.06451612903226,29.03225806451613,87.09677419354838,14021.0,7508.0,21745.5
HUST,coverage,98,62,cycles,146,10,15,42.0,18.0,60.0,67.74193548387096,29.03225806451613,96.7741935483871,16670.5,7779.5,23728.25
HUST,exploration,92,62,cycles,146,10,15,30.0,19.5,48.0,48.38709677419355,31.451612903225808,77.41935483870968,12304.0,8123.5,19458.5
HUST,exploration,95,62,cycles,146,10,15,36.0,24.0,54.0,58.06451612903226,38.70967741935484,87.09677419354838,13904.0,9197.0,20727.25
HUST,exploration,98,62,cycles,146,10,15,42.0,24.0,54.0,67.74193548387096,38.70967741935484,87.09677419354838,16651.0,9414.5,22258.25
HUST,exploitation,92,62,cycles,146,10,15,36.0,19.5,54.0,58.06451612903226,31.451612903225808,87.09677419354838,14624.0,8316.75,21274.5
HUST,exploitation,95,62,cycles,146,10,15,42.0,24.0,60.0,67.74193548387096,38.70967741935484,96.7741935483871,16301.0,9225.25,22813.0
HUST,exploitation,98,62,cycles,146,10,15,48.0,24.0,60.0,77.41935483870968,38.70967741935484,96.7741935483871,18780.5,9330.25,23670.25
HUST,hybrid,92,62,cycles,146,10,15,30.0,18.0,48.0,48.38709677419355,29.03225806451613,77.41935483870968,12283.5,7606.25,18899.0
HUST,hybrid,95,62,cycles,146,10,15,33.0,24.0,48.0,53.22580645161291,38.70967741935484,77.41935483870968,13320.0,9159.75,19630.25
HUST,hybrid,98,62,cycles,146,10,15,42.0,24.0,54.0,67.74193548387096,38.70967741935484,87.09677419354838,17079.0,10153.0,22221.25
KIT,random_selection,92,66,EFC,107,10,15,30.0,18.0,48.0,45.45454545454545,27.27272727272727,72.72727272727273,9171.78012084168,5454.680113905095,14977.899355643896
KIT,random_selection,95,66,EFC,107,10,15,30.0,18.0,54.0,45.45454545454545,27.27272727272727,81.81818181818183,9354.1516394828,5515.405806121683,16509.43519642854
