dataset,feature_set,regressor,target_transform,pool_holdout_split_mode,method,trial,budget_total,mape
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,7,16,14.40446610423866
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,7,24,12.967892617989971
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,7,32,12.08173965978312
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,7,40,12.43460909376702
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,7,48,13.22096398126674
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,7,56,12.873402915423284
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,7,64,9.574311466258017
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,7,72,9.18917960317127
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,7,80,9.664436232284022
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,7,88,11.087391536111364
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,7,96,11.579882068583618
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,7,99,11.308169057259754
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,8,8,16.538130211384377
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,8,16,15.010255479299492
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,8,24,13.803282906000444
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,8,32,14.452682861906377
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,8,40,14.639328655880012
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,8,48,11.460807198884783
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,8,56,12.264889328106662
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,8,64,13.061404221559748
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,8,72,12.60820717976113
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,8,80,12.379991745607215
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,8,88,12.059646670140582
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,8,96,11.997605400295678
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,8,99,12.14796916438998
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,9,8,19.08719803760636
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,9,16,15.478330812893368
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,9,24,12.85594058246208
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,9,32,13.269548894863409
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,9,40,11.863577725335803
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,9,48,9.7405844791036
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,9,56,11.108141764669588
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,9,64,10.766948453087572
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,9,72,12.894336695804132
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,9,80,13.960258674297371
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,9,88,11.557316480638724
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,9,96,10.00099574650914
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,9,99,10.792794541628735
