dataset,feature_set,model,trial,full_pool_mape,model_family
Formation,set5_features_metadata_corr95,GPR,2,13.31182210481521,Primary ML
Formation,set5_features_metadata_corr95,GPR,3,10.640612158462607,Primary ML
Formation,set5_features_metadata_corr95,GPR,4,11.176121582786418,Primary ML
Formation,set5_features_metadata_corr95,GPR,5,13.280206266735776,Primary ML
Formation,set5_features_metadata_corr95,GPR,6,8.747050863719027,Primary ML
Formation,set5_features_metadata_corr95,GPR,7,11.158024926257283,Primary ML
Formation,set5_features_metadata_corr95,GPR,8,9.928124567767588,Primary ML
Formation,set5_features_metadata_corr95,GPR,9,7.986010972005222,Primary ML
Formation,set5_features_metadata_corr95,GPR,10,10.189989213559574,Primary ML
Formation,set5_features_metadata_corr95,RF,1,12.113490995206272,Primary ML
Formation,set5_features_metadata_corr95,RF,2,12.01742942862632,Primary ML
Formation,set5_features_metadata_corr95,RF,3,8.965719127888262,Primary ML
Formation,set5_features_metadata_corr95,RF,4,10.91059900403187,Primary ML
Formation,set5_features_metadata_corr95,RF,5,13.135536130814936,Primary ML
Formation,set5_features_metadata_corr95,RF,6,10.828037691823196,Primary ML
Formation,set5_features_metadata_corr95,RF,7,12.8583971750156,Primary ML
Formation,set5_features_metadata_corr95,RF,8,12.817422815225925,Primary ML
Formation,set5_features_metadata_corr95,RF,9,7.056671907335816,Primary ML
Formation,set5_features_metadata_corr95,RF,10,9.838940213476027,Primary ML
HUST,set1_dQn_m,AE_ENet,1,10.389656920546495,Primary ML
HUST,set1_dQn_m,AE_ENet,2,11.509036943048672,Primary ML
HUST,set1_dQn_m,AE_ENet,3,11.998311873395878,Primary ML
HUST,set1_dQn_m,AE_ENet,4,12.21603443462096,Primary ML
HUST,set1_dQn_m,AE_ENet,5,11.391621075908548,Primary ML
HUST,set1_dQn_m,AE_ENet,6,11.260840746599508,Primary ML
HUST,set1_dQn_m,AE_ENet,7,17.39745201531184,Primary ML
HUST,set1_dQn_m,AE_ENet,8,18.304499000341764,Primary ML
HUST,set1_dQn_m,AE_ENet,9,12.262548974379651,Primary ML
HUST,set1_dQn_m,AE_ENet,10,18.211440684945774,Primary ML
HUST,set1_dQn_m,GPR,1,7.299875497401144,Primary ML
HUST,set1_dQn_m,GPR,2,10.05408513701829,Primary ML
HUST,set1_dQn_m,GPR,3,14.728192455967994,Primary ML
HUST,set1_dQn_m,GPR,4,9.450414998469014,Primary ML
HUST,set1_dQn_m,GPR,5,10.212151179989444,Primary ML
HUST,set1_dQn_m,GPR,6,12.485614290923612,Primary ML
HUST,set1_dQn_m,GPR,7,18.848550376997498,Primary ML
HUST,set1_dQn_m,GPR,8,14.70525472016356,Primary ML
HUST,set1_dQn_m,GPR,9,7.885685889381409,Primary ML
HUST,set1_dQn_m,GPR,10,15.84184556861309,Primary ML
HUST,set1_dQn_m,RF,1,9.309882261719109,Primary ML
HUST,set1_dQn_m,RF,2,11.26890195587718,Primary ML
HUST,set1_dQn_m,RF,3,14.202240422299834,Primary ML
HUST,set1_dQn_m,RF,4,9.918107783204826,Primary ML
HUST,set1_dQn_m,RF,5,10.583837898992943,Primary ML
HUST,set1_dQn_m,RF,6,9.640901085884222,Primary ML
HUST,set1_dQn_m,RF,7,16.487677144419823,Primary ML
HUST,set1_dQn_m,RF,8,13.437130823610149,Primary ML
HUST,set1_dQn_m,RF,9,8.387455117719107,Primary ML
HUST,set1_dQn_m,RF,10,17.108851051230758,Primary ML
HUST,set2_early_soh,AE_ENet,1,13.049367581813089,Primary ML
HUST,set2_early_soh,AE_ENet,2,22.362881793198152,Primary ML
HUST,set2_early_soh,AE_ENet,3,19.473682990457057,Primary ML
HUST,set2_early_soh,AE_ENet,4,12.881863277119995,Primary ML
HUST,set2_early_soh,AE_ENet,5,21.063324545795243,Primary ML
HUST,set2_early_soh,AE_ENet,6,21.293860100648327,Primary ML
HUST,set2_early_soh,AE_ENet,7,27.963550983433077,Primary ML
HUST,set2_early_soh,AE_ENet,8,22.44392806784572,Primary ML
HUST,set2_early_soh,AE_ENet,9,16.49090261888019,Primary ML
HUST,set2_early_soh,AE_ENet,10,26.69715927555121,Primary ML
HUST,set2_early_soh,GPR,1,10.560567000589144,Primary ML
HUST,set2_early_soh,GPR,2,19.084429448896053,Primary ML
HUST,set2_early_soh,GPR,3,14.678166918103503,Primary ML
HUST,set2_early_soh,GPR,4,11.52871329741427,Primary ML
HUST,set2_early_soh,GPR,5,17.48218029671776,Primary ML
HUST,set2_early_soh,GPR,6,14.259164285124792,Primary ML
HUST,set2_early_soh,GPR,7,19.78885830655842,Primary ML
HUST,set2_early_soh,GPR,8,18.383087138505548,Primary ML
HUST,set2_early_soh,GPR,9,12.81853956398176,Primary ML
HUST,set2_early_soh,GPR,10,22.020392458636245,Primary ML
HUST,set2_early_soh,RF,1,11.839367903560904,Primary ML
HUST,set2_early_soh,RF,2,21.345444290348563,Primary ML
HUST,set2_early_soh,RF,3,20.647676679885613,Primary ML
HUST,set2_early_soh,RF,4,11.252512720391309,Primary ML
HUST,set2_early_soh,RF,5,16.422997172602084,Primary ML
HUST,set2_early_soh,RF,6,20.80344906461455,Primary ML
HUST,set2_early_soh,RF,7,26.936805431934253,Primary ML
HUST,set2_early_soh,RF,8,22.5854732915426,Primary ML
HUST,set2_early_soh,RF,9,14.3846831953208,Primary ML
HUST,set2_early_soh,RF,10,22.580278195680773,Primary ML
HUST,set3_features,AE_ENet,1,9.384929464126156,Primary ML
HUST,set3_features,AE_ENet,2,11.265002724748877,Primary ML
HUST,set3_features,AE_ENet,3,7.276720938935524,Primary ML
HUST,set3_features,AE_ENet,4,7.908617587266886,Primary ML
HUST,set3_features,AE_ENet,5,12.329979100530537,Primary ML
HUST,set3_features,AE_ENet,6,8.33000560919056,Primary ML
HUST,set3_features,AE_ENet,7,11.323924394739835,Primary ML
HUST,set3_features,AE_ENet,8,11.664268183458256,Primary ML
HUST,set3_features,AE_ENet,9,8.525878055025641,Primary ML
HUST,set3_features,AE_ENet,10,13.749109848417756,Primary ML
HUST,set3_features,GPR,1,9.081941958626174,Primary ML
HUST,set3_features,GPR,2,11.245877498962985,Primary ML
HUST,set3_features,GPR,3,10.607551996751296,Primary ML
HUST,set3_features,GPR,4,9.022792880965412,Primary ML
HUST,set3_features,GPR,5,12.933121128200838,Primary ML
HUST,set3_features,GPR,6,10.4395571747129,Primary ML
HUST,set3_features,GPR,7,15.484473167172975,Primary ML
HUST,set3_features,GPR,8,18.051828548597967,Primary ML
HUST,set3_features,GPR,9,9.769415576531271,Primary ML
HUST,set3_features,GPR,10,14.97282669802838,Primary ML
HUST,set3_features,RF,1,9.490096464359112,Primary ML
HUST,set3_features,RF,2,11.357394440161077,Primary ML
HUST,set3_features,RF,3,15.16203964251504,Primary ML
HUST,set3_features,RF,4,10.789326281066687,Primary ML
HUST,set3_features,RF,5,10.797746783332181,Primary ML
HUST,set3_features,RF,6,13.5491987693303,Primary ML
HUST,set3_features,RF,7,18.1123987162921,Primary ML
HUST,set3_features,RF,8,14.800260056443587,Primary ML
HUST,set3_features,RF,9,10.303731552077059,Primary ML
HUST,set3_features,RF,10,17.61092027752302,Primary ML
HUST,set4_features_metadata,AE_ENet,1,8.574400910082863,Primary ML
HUST,set4_features_metadata,AE_ENet,2,9.697735374390223,Primary ML
HUST,set4_features_metadata,AE_ENet,3,5.570164322323561,Primary ML
HUST,set4_features_metadata,AE_ENet,4,7.427744631653913,Primary ML
HUST,set4_features_metadata,AE_ENet,5,11.079153176161755,Primary ML
HUST,set4_features_metadata,AE_ENet,6,6.818490169622485,Primary ML
HUST,set4_features_metadata,AE_ENet,7,10.094721191462884,Primary ML
HUST,set4_features_metadata,AE_ENet,8,7.619885668166742,Primary ML
HUST,set4_features_metadata,AE_ENet,9,7.575886450351087,Primary ML
HUST,set4_features_metadata,AE_ENet,10,10.523439998081985,Primary ML
HUST,set4_features_metadata,GPR,1,8.395108768670644,Primary ML
HUST,set4_features_metadata,GPR,2,12.071570639654945,Primary ML
HUST,set4_features_metadata,GPR,3,9.5790915098645,Primary ML
HUST,set4_features_metadata,GPR,4,9.070364953528658,Primary ML
HUST,set4_features_metadata,GPR,5,12.512324535304344,Primary ML
HUST,set4_features_metadata,GPR,6,8.852665543973243,Primary ML
HUST,set4_features_metadata,GPR,7,12.019409260267732,Primary ML
HUST,set4_features_metadata,GPR,8,14.185293885163968,Primary ML
HUST,set4_features_metadata,GPR,9,9.092442675260774,Primary ML
HUST,set4_features_metadata,GPR,10,11.391777352863173,Primary ML
HUST,set4_features_metadata,RF,1,9.160071389015313,Primary ML
HUST,set4_features_metadata,RF,2,11.377567013373618,Primary ML
HUST,set4_features_metadata,RF,3,14.665478609894809,Primary ML
HUST,set4_features_metadata,RF,4,10.642411047118612,Primary ML
HUST,set4_features_metadata,RF,5,11.467096678916262,Primary ML
HUST,set4_features_metadata,RF,6,14.096260452954256,Primary ML
HUST,set4_features_metadata,RF,7,17.59946793535061,Primary ML
HUST,set4_features_metadata,RF,8,13.53589548862028,Primary ML
HUST,set4_features_metadata,RF,9,9.764154542340444,Primary ML
HUST,set4_features_metadata,RF,10,16.10967915418271,Primary ML
HUST,set5_features_metadata_corr95,AE_ENet,1,8.571620686717878,Primary ML
HUST,set5_features_metadata_corr95,AE_ENet,2,9.770401373201631,Primary ML
HUST,set5_features_metadata_corr95,AE_ENet,3,5.7058260132326,Primary ML
HUST,set5_features_metadata_corr95,AE_ENet,4,8.815924658420661,Primary ML
HUST,set5_features_metadata_corr95,AE_ENet,5,10.70239372870619,Primary ML
HUST,set5_features_metadata_corr95,AE_ENet,6,6.836917930792039,Primary ML
HUST,set5_features_metadata_corr95,AE_ENet,7,9.753549112137394,Primary ML
HUST,set5_features_metadata_corr95,AE_ENet,8,7.329168198761628,Primary ML
HUST,set5_features_metadata_corr95,AE_ENet,9,8.5211188195298,Primary ML
HUST,set5_features_metadata_corr95,AE_ENet,10,10.35995967549589,Primary ML
HUST,set5_features_metadata_corr95,GPR,1,8.410525008972808,Primary ML
HUST,set5_features_metadata_corr95,GPR,2,12.0750557404429,Primary ML
HUST,set5_features_metadata_corr95,GPR,3,9.507169299871794,Primary ML
HUST,set5_features_metadata_corr95,GPR,4,10.176974861530828,Primary ML
HUST,set5_features_metadata_corr95,GPR,5,11.577524693483108,Primary ML
HUST,set5_features_metadata_corr95,GPR,6,8.697777974236216,Primary ML
HUST,set5_features_metadata_corr95,GPR,7,12.133386034130185,Primary ML
HUST,set5_features_metadata_corr95,GPR,8,14.403286510232974,Primary ML
HUST,set5_features_metadata_corr95,GPR,9,10.018797175110745,Primary ML
HUST,set5_features_metadata_corr95,GPR,10,11.37791335154156,Primary ML
HUST,set5_features_metadata_corr95,RF,1,10.631715613934555,Primary ML
HUST,set5_features_metadata_corr95,RF,2,11.110799892640836,Primary ML
HUST,set5_features_metadata_corr95,RF,3,15.982689257385374,Primary ML
HUST,set5_features_metadata_corr95,RF,4,10.085048089144772,Primary ML
HUST,set5_features_metadata_corr95,RF,5,11.950519695520212,Primary ML
HUST,set5_features_metadata_corr95,RF,6,16.725769996348873,Primary ML
HUST,set5_features_metadata_corr95,RF,7,16.99129432719693,Primary ML
HUST,set5_features_metadata_corr95,RF,8,16.029649470637793,Primary ML
HUST,set5_features_metadata_corr95,RF,9,11.386878133636856,Primary ML
HUST,set5_features_metadata_corr95,RF,10,15.5017479471624,Primary ML
ISU_ILCC,set1_dQn_m,AE_ENet,1,17.719844816649864,Primary ML
ISU_ILCC,set1_dQn_m,AE_ENet,2,21.88497612268411,Primary ML
ISU_ILCC,set1_dQn_m,AE_ENet,3,16.51199872643311,Primary ML
ISU_ILCC,set1_dQn_m,AE_ENet,4,19.84408626316063,Primary ML
ISU_ILCC,set1_dQn_m,AE_ENet,5,26.82905490153866,Primary ML
ISU_ILCC,set1_dQn_m,AE_ENet,6,21.77094486361255,Primary ML
ISU_ILCC,set1_dQn_m,AE_ENet,7,20.67225756030812,Primary ML
ISU_ILCC,set1_dQn_m,AE_ENet,8,27.280460920613542,Primary ML
ISU_ILCC,set1_dQn_m,AE_ENet,9,22.4299363793123,Primary ML
ISU_ILCC,set1_dQn_m,AE_ENet,10,20.105623621379888,Primary ML
ISU_ILCC,set1_dQn_m,GPR,1,16.725246908762443,Primary ML
ISU_ILCC,set1_dQn_m,GPR,2,19.359149230913296,Primary ML
ISU_ILCC,set1_dQn_m,GPR,3,17.23437006460966,Primary ML
ISU_ILCC,set1_dQn_m,GPR,4,19.07212226107384,Primary ML
ISU_ILCC,set1_dQn_m,GPR,5,22.973177703995752,Primary ML
ISU_ILCC,set1_dQn_m,GPR,6,16.50191080236139,Primary ML
ISU_ILCC,set1_dQn_m,GPR,7,21.662392063548083,Primary ML
ISU_ILCC,set1_dQn_m,GPR,8,25.57155270331121,Primary ML
ISU_ILCC,set1_dQn_m,GPR,9,23.27242356966828,Primary ML
ISU_ILCC,set1_dQn_m,GPR,10,20.51597439781928,Primary ML
ISU_ILCC,set1_dQn_m,RF,1,19.774776507914137,Primary ML
ISU_ILCC,set1_dQn_m,RF,2,22.391503672800983,Primary ML
ISU_ILCC,set1_dQn_m,RF,3,22.59843343379909,Primary ML
ISU_ILCC,set1_dQn_m,RF,4,23.86104340217921,Primary ML
ISU_ILCC,set1_dQn_m,RF,5,30.295673726786315,Primary ML
ISU_ILCC,set1_dQn_m,RF,6,23.9554723634461,Primary ML
ISU_ILCC,set1_dQn_m,RF,7,29.05807628365711,Primary ML
ISU_ILCC,set1_dQn_m,RF,8,43.5457232971026,Primary ML
ISU_ILCC,set1_dQn_m,RF,9,28.203482699131,Primary ML
ISU_ILCC,set1_dQn_m,RF,10,25.0107779388444,Primary ML
ISU_ILCC,set2_early_soh,AE_ENet,1,30.819852245802,Primary ML
ISU_ILCC,set2_early_soh,AE_ENet,2,27.008879744851477,Primary ML
ISU_ILCC,set2_early_soh,AE_ENet,3,36.72956750481564,Primary ML
ISU_ILCC,set2_early_soh,AE_ENet,4,22.79554510936676,Primary ML
ISU_ILCC,set2_early_soh,AE_ENet,5,32.668975388527805,Primary ML
ISU_ILCC,set2_early_soh,AE_ENet,6,32.736255404950406,Primary ML
ISU_ILCC,set2_early_soh,AE_ENet,7,37.67888134717959,Primary ML
ISU_ILCC,set2_early_soh,AE_ENet,8,33.75389201700212,Primary ML
ISU_ILCC,set2_early_soh,AE_ENet,9,34.57614536632044,Primary ML
