dataset,feature_set,model,full_pool_mape,n_trials,model_family
ISU_ILCC,set5_features_metadata_corr95,TabNet,29.19972623598439,10,Deep learning
KIT,set1_dQn_m,CNN,31.178023377127214,10,Deep learning
KIT,set1_dQn_m,DeepVAE,24.770231674012695,10,Deep learning
KIT,set1_dQn_m,MLP,23.878183151560904,10,Deep learning
KIT,set1_dQn_m,TabNet,36.62510897606184,10,Deep learning
KIT,set2_early_soh,CNN,35.47872003298795,10,Deep learning
KIT,set2_early_soh,DeepVAE,31.713354585376653,10,Deep learning
KIT,set2_early_soh,MLP,35.40805669937022,10,Deep learning
KIT,set2_early_soh,TabNet,36.040594286783126,10,Deep learning
KIT,set3_features,CNN,23.938873927071075,10,Deep learning
KIT,set3_features,DeepVAE,21.259087361606905,10,Deep learning
KIT,set3_features,MLP,20.95376460320147,10,Deep learning
KIT,set3_features,TabNet,31.626377572471235,10,Deep learning
KIT,set4_features_metadata,CNN,23.7876820601983,10,Deep learning
KIT,set4_features_metadata,DeepVAE,29.942427663033623,10,Deep learning
KIT,set4_features_metadata,MLP,25.891153958507044,10,Deep learning
KIT,set4_features_metadata,TabNet,34.83439856410542,10,Deep learning
KIT,set5_features_metadata_corr95,CNN,28.715087167007546,10,Deep learning
KIT,set5_features_metadata_corr95,DeepVAE,32.26197156987366,10,Deep learning
KIT,set5_features_metadata_corr95,MLP,33.78446806141619,10,Deep learning
KIT,set5_features_metadata_corr95,TabNet,46.97207395254774,10,Deep learning
LSD_Primary,set1_dQn_m,CNN,34.969148084009404,10,Deep learning
LSD_Primary,set1_dQn_m,DeepVAE,22.544739945271875,10,Deep learning
LSD_Primary,set1_dQn_m,MLP,22.124369086531626,10,Deep learning
LSD_Primary,set1_dQn_m,TabNet,155.6232525708698,10,Deep learning
LSD_Primary,set2_early_soh,CNN,45.22313369128666,10,Deep learning
LSD_Primary,set2_early_soh,DeepVAE,44.27039386399283,10,Deep learning
LSD_Primary,set2_early_soh,MLP,48.72359479929948,10,Deep learning
LSD_Primary,set2_early_soh,TabNet,119.50555571548475,10,Deep learning
LSD_Primary,set3_features,CNN,117.86730871811142,10,Deep learning
LSD_Primary,set3_features,DeepVAE,40.3297431856093,10,Deep learning
LSD_Primary,set3_features,MLP,41.92338473273327,10,Deep learning
LSD_Primary,set3_features,TabNet,154.70393677328008,10,Deep learning
LSD_Primary,set4_features_metadata,CNN,61.66300063382441,10,Deep learning
LSD_Primary,set4_features_metadata,DeepVAE,47.39506914068873,10,Deep learning
LSD_Primary,set4_features_metadata,MLP,47.50096331142497,10,Deep learning
LSD_Primary,set4_features_metadata,TabNet,84.70005042225233,10,Deep learning
LSD_Primary,set5_features_metadata_corr95,CNN,37.194216110204344,10,Deep learning
LSD_Primary,set5_features_metadata_corr95,DeepVAE,72.12133298016276,10,Deep learning
LSD_Primary,set5_features_metadata_corr95,MLP,42.376585718159,10,Deep learning
LSD_Primary,set5_features_metadata_corr95,TabNet,192.20886016838023,10,Deep learning
LSD_Second,set1_dQn_m,CNN,32.24995664249919,10,Deep learning
LSD_Second,set1_dQn_m,DeepVAE,19.01567891255994,10,Deep learning
LSD_Second,set1_dQn_m,MLP,19.05777524852343,10,Deep learning
LSD_Second,set1_dQn_m,TabNet,32.48242401755165,10,Deep learning
LSD_Second,set2_early_soh,CNN,40.01993846410364,10,Deep learning
LSD_Second,set2_early_soh,DeepVAE,40.7808504002991,10,Deep learning
LSD_Second,set2_early_soh,MLP,41.46526139555912,10,Deep learning
LSD_Second,set2_early_soh,TabNet,32.30531772458253,10,Deep learning
LSD_Second,set3_features,CNN,19.10109450188587,10,Deep learning
LSD_Second,set3_features,DeepVAE,20.376226120598478,10,Deep learning
LSD_Second,set3_features,MLP,19.753320270756326,10,Deep learning
LSD_Second,set3_features,TabNet,35.361157584684904,10,Deep learning
LSD_Second,set4_features_metadata,CNN,18.828468289199197,10,Deep learning
LSD_Second,set4_features_metadata,DeepVAE,20.929769568763394,10,Deep learning
LSD_Second,set4_features_metadata,MLP,21.077647277636977,10,Deep learning
LSD_Second,set4_features_metadata,TabNet,31.932878544060742,10,Deep learning
LSD_Second,set5_features_metadata_corr95,CNN,20.47654412070922,10,Deep learning
LSD_Second,set5_features_metadata_corr95,DeepVAE,21.72618636127212,10,Deep learning
LSD_Second,set5_features_metadata_corr95,MLP,18.679759761822254,10,Deep learning
LSD_Second,set5_features_metadata_corr95,TabNet,32.94975057923817,10,Deep learning
MIT,set1_dQn_m,CNN,16.455620229140568,10,Deep learning
MIT,set1_dQn_m,DeepVAE,12.035182371393535,10,Deep learning
MIT,set1_dQn_m,MLP,11.595025097646623,10,Deep learning
MIT,set1_dQn_m,TabNet,27.411454399708987,10,Deep learning
MIT,set2_early_soh,CNN,20.16041112094446,10,Deep learning
MIT,set2_early_soh,DeepVAE,7.64002798279424,10,Deep learning
MIT,set2_early_soh,MLP,7.147837067402387,10,Deep learning
MIT,set2_early_soh,TabNet,33.80657614664584,10,Deep learning
MIT,set3_features,CNN,12.555457967539185,10,Deep learning
MIT,set3_features,DeepVAE,11.97965770607092,10,Deep learning
MIT,set3_features,MLP,12.021752210617114,10,Deep learning
MIT,set3_features,TabNet,21.911562663778817,10,Deep learning
MIT,set4_features_metadata,CNN,13.90553631018238,10,Deep learning
MIT,set4_features_metadata,DeepVAE,11.641468386514003,10,Deep learning
MIT,set4_features_metadata,MLP,11.460210830964261,10,Deep learning
MIT,set4_features_metadata,TabNet,23.498769794573825,10,Deep learning
MIT,set5_features_metadata_corr95,CNN,15.45566117251874,10,Deep learning
MIT,set5_features_metadata_corr95,DeepVAE,11.209496241399794,10,Deep learning
MIT,set5_features_metadata_corr95,MLP,11.638026318627007,10,Deep learning
MIT,set5_features_metadata_corr95,TabNet,24.450752302914246,10,Deep learning
TRI_Tesla,set1_dQn_m,CNN,25.32292102800879,10,Deep learning
TRI_Tesla,set1_dQn_m,DeepVAE,21.915416557948237,10,Deep learning
TRI_Tesla,set1_dQn_m,MLP,22.173057820070493,10,Deep learning
TRI_Tesla,set1_dQn_m,TabNet,64.07280221175435,10,Deep learning
TRI_Tesla,set2_early_soh,CNN,18.4467817361126,10,Deep learning
TRI_Tesla,set2_early_soh,DeepVAE,17.835105597104242,10,Deep learning
TRI_Tesla,set2_early_soh,MLP,18.59789425963403,10,Deep learning
TRI_Tesla,set2_early_soh,TabNet,55.419126877457394,10,Deep learning
TRI_Tesla,set3_features,CNN,26.68188047928224,10,Deep learning
TRI_Tesla,set3_features,DeepVAE,24.389894299726585,10,Deep learning
TRI_Tesla,set3_features,MLP,26.411259409741252,10,Deep learning
TRI_Tesla,set3_features,TabNet,66.09592746013625,10,Deep learning
TRI_Tesla,set4_features_metadata,CNN,18.589092508480167,10,Deep learning
TRI_Tesla,set4_features_metadata,DeepVAE,16.23316558667953,10,Deep learning
TRI_Tesla,set4_features_metadata,MLP,14.718320782977415,10,Deep learning
TRI_Tesla,set4_features_metadata,TabNet,55.17021845540667,10,Deep learning
TRI_Tesla,set5_features_metadata_corr95,CNN,16.77261826435497,10,Deep learning
TRI_Tesla,set5_features_metadata_corr95,DeepVAE,13.80351591526746,10,Deep learning
TRI_Tesla,set5_features_metadata_corr95,MLP,15.464868911622967,10,Deep learning
TRI_Tesla,set5_features_metadata_corr95,TabNet,52.619645390198016,10,Deep learning
