index,dataset,feature_set,regressor,method,labelled_pool_fraction_pct,labeled_train_count,max_budget_mean,error_reduction_mean_pp,error_reduction_sd_pp,n_trials,error_reduction_sem_pp
5684,LSD_Second,set3_features,GPR,exploration,51.724137931034484,30,58,3.936991552489311,6.927759196615765,10,2.190749814248407
5685,LSD_Second,set3_features,GPR,exploration,62.06896551724138,36,58,1.3634128693731697,4.329674589972871,10,1.3691633231669897
5686,LSD_Second,set3_features,GPR,exploration,72.41379310344827,42,58,1.2308156576733444,3.9826220417732614,10,1.2594156711593762
5687,LSD_Second,set3_features,GPR,exploration,82.75862068965517,48,58,1.3979610432342378,3.0907884016236684,10,0.9773931114762059
5688,LSD_Second,set3_features,GPR,exploration,93.10344827586206,54,58,0.15031789809982002,1.7516709339025978,10,0.5539269862246466
5689,LSD_Second,set3_features,GPR,exploration,100.0,58,58,0.0,0.0,10,0.0
5690,LSD_Second,set3_features,GPR,hybrid,10.344827586206897,6,58,0.0,0.0,10,0.0
5691,LSD_Second,set3_features,GPR,hybrid,20.689655172413794,12,58,1.266858834646765,9.301275020698272,10,2.9413214209036322
5692,LSD_Second,set3_features,GPR,hybrid,31.03448275862069,18,58,-2.4107643051770147,11.800868424485714,10,3.731762258933759
5693,LSD_Second,set3_features,GPR,hybrid,41.37931034482759,24,58,1.4213865970404964,8.75687634725848,10,2.769167444579237
5694,LSD_Second,set3_features,GPR,hybrid,51.724137931034484,30,58,4.490637398577965,6.052872530963652,10,1.9140863584513195
5695,LSD_Second,set3_features,GPR,hybrid,62.06896551724138,36,58,3.2189235570484356,4.0027009568926415,10,1.2657651816316196
5696,LSD_Second,set3_features,GPR,hybrid,72.41379310344827,42,58,0.8004116949925486,2.807964321698344,10,0.8879562845056529
5697,LSD_Second,set3_features,GPR,hybrid,82.75862068965517,48,58,1.2499355035027004,2.298057817692049,10,0.7267096898662865
5698,LSD_Second,set3_features,GPR,hybrid,93.10344827586206,54,58,0.8385510473493294,1.900580454792147,10,0.6010163113541864
5699,LSD_Second,set3_features,GPR,hybrid,100.0,58,58,0.0,0.0,10,0.0
5820,LSD_Second,set4_features_metadata,GPR,coverage,10.344827586206897,6,58,0.0,0.0,10,0.0
5821,LSD_Second,set4_features_metadata,GPR,coverage,20.689655172413794,12,58,-3.119680545534303,15.815877654080428,10,5.001419658145481
5822,LSD_Second,set4_features_metadata,GPR,coverage,31.03448275862069,18,58,-3.8416679796803224,11.291447869240434,10,3.570669334785487
5823,LSD_Second,set4_features_metadata,GPR,coverage,41.37931034482759,24,58,-0.6342674576986965,10.686726655904039,10,3.379439696429127
5824,LSD_Second,set4_features_metadata,GPR,coverage,51.724137931034484,30,58,0.3065109313310071,7.7675261794374695,10,2.456307451200815
5825,LSD_Second,set4_features_metadata,GPR,coverage,62.06896551724138,36,58,-0.634479078059121,3.9599409824015406,10,1.2522432904233616
5826,LSD_Second,set4_features_metadata,GPR,coverage,72.41379310344827,42,58,-0.7640100740039261,4.1296720501675,10,1.3059169668066435
5827,LSD_Second,set4_features_metadata,GPR,coverage,82.75862068965517,48,58,-0.2394389478681628,4.455685980741282,10,1.4090116237623591
5828,LSD_Second,set4_features_metadata,GPR,coverage,93.10344827586206,54,58,-0.7795718831184388,1.7796074827893227,10,0.5627612986693158
5829,LSD_Second,set4_features_metadata,GPR,coverage,100.0,58,58,0.0,0.0,10,0.0
5830,LSD_Second,set4_features_metadata,GPR,diversity_iterative,10.344827586206897,6,58,3.5459794097296724,19.734208270465295,10,6.240504595480247
5831,LSD_Second,set4_features_metadata,GPR,diversity_iterative,20.689655172413794,12,58,-1.6908062787666567,7.726418896054873,10,2.4433081868097153
5832,LSD_Second,set4_features_metadata,GPR,diversity_iterative,31.03448275862069,18,58,0.974754976710887,5.330117571478151,10,1.685531172235629
5833,LSD_Second,set4_features_metadata,GPR,diversity_iterative,41.37931034482759,24,58,-1.0912091729075208,8.359763580632796,10,2.643589361532431
5834,LSD_Second,set4_features_metadata,GPR,diversity_iterative,51.724137931034484,30,58,-1.3170393966694685,7.7357433123800785,10,2.4462568261536464
5835,LSD_Second,set4_features_metadata,GPR,diversity_iterative,62.06896551724138,36,58,-0.6139890408713189,4.470041930988336,10,1.4135513738380339
5836,LSD_Second,set4_features_metadata,GPR,diversity_iterative,72.41379310344827,42,58,0.5698148510388059,3.7786498791731606,10,1.1949140098507232
5837,LSD_Second,set4_features_metadata,GPR,diversity_iterative,82.75862068965517,48,58,1.5603647713528919,5.256412057535258,10,1.6622234422183453
5838,LSD_Second,set4_features_metadata,GPR,diversity_iterative,93.10344827586206,54,58,-0.3051741623310075,2.6495312094554238,10,0.8378553353579793
5839,LSD_Second,set4_features_metadata,GPR,diversity_iterative,100.0,58,58,0.0,0.0,10,0.0
5840,LSD_Second,set4_features_metadata,GPR,diversity_oneshot,10.344827586206897,6,58,3.5459794097296724,19.734208270465295,10,6.240504595480247
5841,LSD_Second,set4_features_metadata,GPR,diversity_oneshot,20.689655172413794,12,58,-4.606654176057336,12.788621929086338,10,4.044117343068916
5842,LSD_Second,set4_features_metadata,GPR,diversity_oneshot,31.03448275862069,18,58,-2.440424072568468,8.129632936518734,10,2.570815662052225
5843,LSD_Second,set4_features_metadata,GPR,diversity_oneshot,41.37931034482759,24,58,0.5610480787112948,7.307466744703447,10,2.310823883919906
5844,LSD_Second,set4_features_metadata,GPR,diversity_oneshot,51.724137931034484,30,58,-0.5552482774573486,6.628390386705582,10,2.0960810842753905
5845,LSD_Second,set4_features_metadata,GPR,diversity_oneshot,62.06896551724138,36,58,-1.078576566931884,3.7775101906263493,10,1.19455360868761
5846,LSD_Second,set4_features_metadata,GPR,diversity_oneshot,72.41379310344827,42,58,-0.986896061889061,4.6166516350878775,10,1.4599134330418215
5847,LSD_Second,set4_features_metadata,GPR,diversity_oneshot,82.75862068965517,48,58,-0.3440946006875231,3.4059697285382464,10,1.0770621983766255
5848,LSD_Second,set4_features_metadata,GPR,diversity_oneshot,93.10344827586206,54,58,-0.5918660247312166,1.4360166438629092,10,0.4541083352517649
5849,LSD_Second,set4_features_metadata,GPR,diversity_oneshot,100.0,58,58,0.0,0.0,10,0.0
5850,LSD_Second,set4_features_metadata,GPR,exploitation,10.344827586206897,6,58,0.0,0.0,10,0.0
5851,LSD_Second,set4_features_metadata,GPR,exploitation,20.689655172413794,12,58,-5.192441454137231,15.706741228713652,10,4.9669076901606815
5852,LSD_Second,set4_features_metadata,GPR,exploitation,31.03448275862069,18,58,0.6425454441177006,6.890649636806897,10,2.1790147410521805
5853,LSD_Second,set4_features_metadata,GPR,exploitation,41.37931034482759,24,58,0.3333059223352143,5.608946350779776,10,1.773704574215384
5854,LSD_Second,set4_features_metadata,GPR,exploitation,51.724137931034484,30,58,-0.6162655918859816,8.623329133443272,10,2.7269361074966807
5855,LSD_Second,set4_features_metadata,GPR,exploitation,62.06896551724138,36,58,-1.381449439042226,5.0110418790179745,10,1.5846305788186719
5856,LSD_Second,set4_features_metadata,GPR,exploitation,72.41379310344827,42,58,0.3047501065922031,5.670585141652315,10,1.7931964713529858
5857,LSD_Second,set4_features_metadata,GPR,exploitation,82.75862068965517,48,58,0.826491333686835,4.2746031954661365,10,1.351748219110693
5858,LSD_Second,set4_features_metadata,GPR,exploitation,93.10344827586206,54,58,0.3224227875284072,4.075242873915654,10,1.2887049499943855
5859,LSD_Second,set4_features_metadata,GPR,exploitation,100.0,58,58,0.0,0.0,10,0.0
5860,LSD_Second,set4_features_metadata,GPR,exploration,10.344827586206897,6,58,0.0,0.0,10,0.0
5861,LSD_Second,set4_features_metadata,GPR,exploration,20.689655172413794,12,58,-3.79215071211985,16.02878304182775,10,5.068746253285766
5862,LSD_Second,set4_features_metadata,GPR,exploration,31.03448275862069,18,58,-5.353847716754707,8.224407234034713,10,2.6007859264315183
5863,LSD_Second,set4_features_metadata,GPR,exploration,41.37931034482759,24,58,-2.2097782131745505,10.08138111239627,10,3.1880126275374168
5864,LSD_Second,set4_features_metadata,GPR,exploration,51.724137931034484,30,58,-2.6017074929232793,10.73493621396687,10,3.394684897275995
5865,LSD_Second,set4_features_metadata,GPR,exploration,62.06896551724138,36,58,-3.586036344404383,5.978533046921776,10,1.8905781494859126
5866,LSD_Second,set4_features_metadata,GPR,exploration,72.41379310344827,42,58,-0.4646243800489266,3.9743750838201866,10,1.2568077540694405
5867,LSD_Second,set4_features_metadata,GPR,exploration,82.75862068965517,48,58,-1.032162382528249,3.8538026019260356,10,1.2186793874769475
5868,LSD_Second,set4_features_metadata,GPR,exploration,93.10344827586206,54,58,-0.8611494620425375,1.8820240487799504,10,0.5951482605356481
5869,LSD_Second,set4_features_metadata,GPR,exploration,100.0,58,58,0.0,0.0,10,0.0
5870,LSD_Second,set4_features_metadata,GPR,hybrid,10.344827586206897,6,58,0.0,0.0,10,0.0
5871,LSD_Second,set4_features_metadata,GPR,hybrid,20.689655172413794,12,58,-4.818454339245282,15.107968654953071,10,4.7775591768082215
5872,LSD_Second,set4_features_metadata,GPR,hybrid,31.03448275862069,18,58,-0.9955709879847943,9.560690506338743,10,3.0233558003978915
5873,LSD_Second,set4_features_metadata,GPR,hybrid,41.37931034482759,24,58,0.28693269535506083,8.456558393715232,10,2.6741985690355072
5874,LSD_Second,set4_features_metadata,GPR,hybrid,51.724137931034484,30,58,-2.2119619637705545,11.299575638350012,10,3.5732395610537093
5875,LSD_Second,set4_features_metadata,GPR,hybrid,62.06896551724138,36,58,-1.9144582494178057,5.473744857034611,10,1.7309501078862108
5876,LSD_Second,set4_features_metadata,GPR,hybrid,72.41379310344827,42,58,-1.0162884194467883,4.256357102246675,10,1.3459782978133676
5877,LSD_Second,set4_features_metadata,GPR,hybrid,82.75862068965517,48,58,-0.8168681821216778,4.037776500616224,10,1.276857042465154
5878,LSD_Second,set4_features_metadata,GPR,hybrid,93.10344827586206,54,58,-0.6528679985846113,1.800222940856895,10,0.569280478919438
5879,LSD_Second,set4_features_metadata,GPR,hybrid,100.0,58,58,0.0,0.0,10,0.0
6000,LSD_Second,set5_features_metadata_corr95,GPR,coverage,10.344827586206897,6,58,0.0,0.0,10,0.0
6001,LSD_Second,set5_features_metadata_corr95,GPR,coverage,20.689655172413794,12,58,-4.91640883028232,16.182502712771512,10,5.117356681421155
6002,LSD_Second,set5_features_metadata_corr95,GPR,coverage,31.03448275862069,18,58,-3.3411859591057436,11.7239907412114,10,3.7074514008953727
6003,LSD_Second,set5_features_metadata_corr95,GPR,coverage,41.37931034482759,24,58,-2.845465902998776,13.741534512679078,10,4.345454760587782
6004,LSD_Second,set5_features_metadata_corr95,GPR,coverage,51.724137931034484,30,58,-1.5020056037447844,9.515399922140697,10,3.009033660135346
6005,LSD_Second,set5_features_metadata_corr95,GPR,coverage,62.06896551724138,36,58,-2.798587470856213,5.987487138853299,10,1.8934096819741275
6006,LSD_Second,set5_features_metadata_corr95,GPR,coverage,72.41379310344827,42,58,-0.8881989616012904,3.46345480496118,10,1.095240575673157
6007,LSD_Second,set5_features_metadata_corr95,GPR,coverage,82.75862068965517,48,58,-0.327318262199466,3.4361379772466956,10,1.0866022362703387
6008,LSD_Second,set5_features_metadata_corr95,GPR,coverage,93.10344827586206,54,58,-0.468912059822137,1.9014759506110446,10,0.6012994919964738
6009,LSD_Second,set5_features_metadata_corr95,GPR,coverage,100.0,58,58,0.0,0.0,10,0.0
6010,LSD_Second,set5_features_metadata_corr95,GPR,diversity_iterative,10.344827586206897,6,58,5.179383450883167,14.984361753349084,10,4.738471242449729
6011,LSD_Second,set5_features_metadata_corr95,GPR,diversity_iterative,20.689655172413794,12,58,-2.9606355173741656,10.353622400209733,10,3.274102881800215
6012,LSD_Second,set5_features_metadata_corr95,GPR,diversity_iterative,31.03448275862069,18,58,-3.0863105503087525,11.285860142863884,10,3.5689023405563174
6013,LSD_Second,set5_features_metadata_corr95,GPR,diversity_iterative,41.37931034482759,24,58,-1.231090813571233,5.371530908840879,10,1.6986272193931462
6014,LSD_Second,set5_features_metadata_corr95,GPR,diversity_iterative,51.724137931034484,30,58,0.985758866480448,6.5674447164422025,10,2.0768083711196033
6015,LSD_Second,set5_features_metadata_corr95,GPR,diversity_iterative,62.06896551724138,36,58,-0.7814080621768804,5.495751245954642,10,1.73790913909249
6016,LSD_Second,set5_features_metadata_corr95,GPR,diversity_iterative,72.41379310344827,42,58,0.49732716999555393,7.595968942581504,10,2.4020562894458313
6017,LSD_Second,set5_features_metadata_corr95,GPR,diversity_iterative,82.75862068965517,48,58,0.8464986492919391,6.03720549483065,10,1.9091320066148751
6018,LSD_Second,set5_features_metadata_corr95,GPR,diversity_iterative,93.10344827586206,54,58,-0.5599775421403408,2.496776898913193,10,0.7895501809857673
6019,LSD_Second,set5_features_metadata_corr95,GPR,diversity_iterative,100.0,58,58,0.0,0.0,10,0.0
6020,LSD_Second,set5_features_metadata_corr95,GPR,diversity_oneshot,10.344827586206897,6,58,5.179383450883167,14.984361753349084,10,4.738471242449729
6021,LSD_Second,set5_features_metadata_corr95,GPR,diversity_oneshot,20.689655172413794,12,58,-1.095406275306641,7.236693322477447,10,2.2884433627160115
6022,LSD_Second,set5_features_metadata_corr95,GPR,diversity_oneshot,31.03448275862069,18,58,1.0153968741891846,8.535013603291405,10,2.6990082846921633
